Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.,Invoice Date,Submitted Date,Amount,Remarks (If any),DC Number,Original DC,, Overdue Days ,
9147-,9147-6792,3619,Al Mehran Chemicals,9147,6792,,A-0003857,26-Oct-20,16-Nov-20,"617,760.00",,4010,Yes,,,
9372-6416,9372-6842,3620,Gelcaps ,9372,6842,6416,35587,29-Oct-20,16-Nov-20,"415,000.00",,20100078,Yes,,,
9397-2606,9397-2550,3621,Syscom Control Air,9397,2550,2606,120,04-Nov-20,16-Nov-20,"86,112.00",,SIDC-190243,Yes,,,
4900-5156,4900-,3622,M. S. Engineering,4900,,5156,S000056,24-Sep-20,16-Nov-20,"464,769.00",Services,,,,,
9542-2604,9542-2548,3623,Tahir Engineering Industries ,9542,2548,2604,1300,05-Nov-20,16-Nov-20,"120,000.00",,"D01085, D01079",Yes,,,
9302-6300,9302-6768,3624,M. A. Printers ,9302,6768,6300,141,23-Oct-20,16-Nov-20,"1,500.00",,336,Yes,,,
9064-507,9064-373,3625,M. A. Printers ,9064,373,507,142,23-Oct-20,16-Nov-20,"1,500.00",,335,Yes,,,
9499-6330,9499-6806,3626,M. A. Printers ,9499,6806,6330,140,27-Oct-20,16-Nov-20,"3,000.00",,340,Yes,,,
9499-6331,9499-6807,3627,M. A. Printers ,9499,6807,6331,140,27-Oct-20,16-Nov-20,"3,000.00",,340,Yes,,,
7787-5389,7787-3041,3628,Javed Chemical ,7787,3041,5389,22484,03-Nov-20,16-Nov-20,"40,950.00",,614,Yes,,,
7657-,7657-6889,3629,Javed Chemical ,7657,6889,,22483,03-Nov-20,16-Nov-20,"526,500.00",,513,Yes,,,
8187-5379,8187-3037,3630,Pak Gases,8187,3037,5379,3220,31-Oct-20,16-Nov-20,678.60,,1202,Yes,,,
9627-5391,9627-3042,3631,Pak Gases,9627,3042,5391,3221,31-Oct-20,16-Nov-20,"4,914.00",,1203,Yes,,,
9396-6434,9396-6877,3632,Faisal Enterprises,9396,6877,6434,70,04-Nov-20,16-Nov-20,"90,873.90",,FE-2020-70,Yes,,,
9396-6422,9396-6888,3633,Faisal Enterprises,9396,6888,6422,70,04-Nov-20,16-Nov-20,"90,873.90",,FE-2020-70,Yes,,,
730-,730-,3634,W.J. Associates ,730,,,118/WJ/2020,05-Nov-20,16-Nov-20,"1,174,123.00",Services Advance ,,,,,
9079-2658,9079-2601,3635,Tahir Engineering Industries ,9079,2601,2658,1302,13-Nov-20,16-Nov-20,"280,000.00",,D01090,Yes,,,
8702-2660,8702-2603,3636,Arsalan Engineering Services,8702,2603,2660,109,13-Nov-20,16-Nov-20,"50,000.00",,100,Yes,,,
9529-5460,9529-,3637,Iceberg Engineering Services,9529,,5460,BRO-ENG-3-088,10-Nov-20,16-Nov-20,"27,120.00",,159,Yes,,,
8755-5461,8755-,3638,Allied Rental,8755,,5461,SINV-015734,20-Oct-20,16-Nov-20,"420,000.00",Services,,,,,
9200-5462,9200-,3639,M. S. Engineering,9200,,5462,S-00066,27-Oct-20,16-Nov-20,"233,519.50",Services,,,,,
9200-5463,9200-,3640,M. S. Engineering,9200,,5463,S-00066,27-Oct-20,16-Nov-20,"233,519.50",Services,,,,,
9660-2642,9660-2585,3641,Solutions,9660,2585,2642,113,11-Nov-20,16-Nov-20,"35,100.00",,223,Yes,,,
9230-5434,9230-,3642,Gulf Constructors,9230,,5434,9230,26-Oct-20,16-Nov-20,"180,077.04",Services,,,,,
9444-2633,9444-2576,3643,MDIE&C,9444,2576,2633,2020110001,06-Nov-20,16-Nov-20,"18,696.60",,9,Yes,,,
9659-2634,9659-2577,3644,Solutions,9659,2577,2634,112,10-Nov-20,16-Nov-20,"76,560.00",,222,No (Copy with Stamp),,,
9557-5425,9557-3064,3645,New Tech System,9557,3064,5425,NTS/266/20-BPPL,09-Nov-20,16-Nov-20,"67,860.00",,DC/NTS/BPPL/230/20,Yes,,,
9549-2632,9549-2575,3646,K. W. Traders,9549,2575,2632,2627,10-Nov-20,16-Nov-20,"111,150.00",,15066,Yes,,,
9165-2640,9165-2583,3647,New Zafcom Tyres Company,9165,2583,2640,974,05-Sep-20,16-Nov-20,"36,270.00",,8852,Yes,,,
9165-2640,9165-2583,3648,New Zafcom Tyres Company,9165,2583,2640,968,04-Sep-20,16-Nov-20,"20,358.00",,8850,Yes,,,
9643-2650,9643-2593,3649,New Zafcom Tyres Company,9643,2593,2650,1087,12-Oct-20,16-Nov-20,"136,305.00",,8984,Yes,,,
2065-5401,2065-3047,3650,M. A. Printers ,2065,3047,5401,143,04-Nov-20,16-Nov-20,"25,398.00",,342,Yes,,,
9640-2651,9640-2594,3651,New Zafcom Tyres Company,9640,2594,2651,1078,07-Oct-20,16-Nov-20,"31,590.00",,8970,Yes,,,
9640-2653,9640-2596,3652,New Zafcom Tyres Company,9640,2596,2653,1116,20-Oct-20,16-Nov-20,"20,592.00",,9011,Yes,,,
9640-2654,9640-2597,3653,New Zafcom Tyres Company,9640,2597,2654,1123,21-Oct-20,16-Nov-20,"33,813.00",,9017,Yes,,,
9640-2652,9640-2595,3654,New Zafcom Tyres Company,9640,2595,2652,1124,21-Oct-20,16-Nov-20,"28,080.00",,9018,Yes,,,
9105-5406,9105-3052,3655,Paradise Airconditioning ,9105,3052,5406,072,06-Nov-20,16-Nov-20,"1,700,000.00",,216,No (Copy with Stamp),,,
9544-5474,9544-,3656,Secure Beans ,9544,,5474,INV-000375,10-Nov-20,16-Nov-20,"448,666.50",Services,,,,,
9544-5473,9544-,3657,Secure Beans ,9544,,5473,,10-Nov-20,16-Nov-20,"448,666.50",Services,,,,,
9636-2649,9636-2592,3658,Honda Khair,9636,2592,2649,2001137,15-Oct-20,16-Nov-20,"6,135.54",,2001137,Yes,,,
9636-5470,9636-,3659,Honda Khair,9636,,5470,2001137,15-Oct-20,16-Nov-20,"6,135.54",Services,,,,,
9638-2648,9638-2591,3660,Honda Khair,9638,2591,2648,2001068,07-Oct-20,16-Nov-20,"1,020.24",Services,,,,,
9639-5471,9639-,3661,Honda Khair,9639,,5471,2000/09737,21-Oct-20,16-Nov-20,"2,260.00",Services,,,,,
8915-,8915-380,3662,Metier Impressions,8915,380,,20210305,12-Nov-20,26-Nov-20,"432,311.00",,20210305,Yes,,,
8915-,8915-6992,3663,Metier Impressions,8915,6992,,20210316,17-Nov-20,26-Nov-20,"295,926.00",,20210316,Yes,,,
8955-,8955-6955,3664,Metier Impressions,8955,6955,,20210307,12-Nov-20,26-Nov-20,"101,514.00",,20210307,Yes,,,
8955-,8955-6989,3665,Metier Impressions,8955,6989,,20210314,17-Nov-20,26-Nov-20,"51,802.00",,20210314,Yes,,,
9046-6484,9046-6956,3666,Metier Impressions,9046,6956,6484,20210308,12-Nov-20,26-Nov-20,"16,024.00",,20210308,Yes,,,
9057-,9057-6990,3667,Metier Impressions,9057,6990,,20210315,17-Nov-20,26-Nov-20,"13,179.00",,20210315,Yes,,,
9057-6545,9057-7026,3668,Metier Impressions,9057,7026,6545,20210323,19-Nov-20,26-Nov-20,"12,879.00",,20210323,Yes,,,
9067-520,9067-381,3669,Metier Impressions,9067,381,520,20210310,16-Nov-20,26-Nov-20,"559,536.00",,20210310,Yes,,,
9067-521,9067-383,3670,Metier Impressions,9067,383,521,20210318,19-Nov-20,26-Nov-20,"559,536.00",,20210318,Yes,,,
9089-6541,9089-7022,3671,Metier Impressions,9089,7022,6541,20210319,19-Nov-20,26-Nov-20,"137,962.00",,20210319,Yes,,,
9232-,9232-7071,3672,Metier Impressions,9232,7071,,20210332,24-Nov-20,26-Nov-20,"100,386.00",,20210332,Yes,,,
9360-6506,9360-6988,3673,Metier Impressions,9360,6988,6506,20210312,17-Nov-20,26-Nov-20,"164,468.00",,20210312,Yes,,,
9360-6543,9360-7024,3674,Metier Impressions,9360,7024,6543,20210321,19-Nov-20,26-Nov-20,"125,015.00",,20210321,Yes,,,
9386-6490,9386-6965,3675,Metier Impressions,9386,6965,6490,20210309,13-Nov-20,26-Nov-20,"15,818.00",,20210309,Yes,,,
9386-6524,9386-6987,3676,Metier Impressions,9386,6987,6524,20210311,17-Nov-20,26-Nov-20,"55,364.00",,20210311,Yes,,,
9391-6525,9391-6991,3677,Metier Impressions,9391,6991,6525,20210313,17-Nov-20,26-Nov-20,"226,182.00",,20210313,Yes,,,
9391-6557,9391-7035,3678,Metier Impressions,9391,7035,6557,20210327,20-Nov-20,26-Nov-20,"230,683.00",,20210327,Yes,,,
9391-6558,9391-7036,3679,Metier Impressions,9391,7036,6558,20210328,20-Nov-20,26-Nov-20,"344,956.00",,20210328,Yes,,,
9443-6542,9443-7023,3680,Metier Impressions,9443,7023,6542,20210320,19-Nov-20,26-Nov-20,"20,907.00",,20210320,Yes,,,
9443-6544,9443-7025,3681,Metier Impressions,9443,7025,6544,20210322,19-Nov-20,26-Nov-20,"30,444.00",,20210322,Yes,,,
9471-,9471-7027,3682,Metier Impressions,9471,7027,,20210324,19-Nov-20,26-Nov-20,"9,828.00",,20210324,Yes,,,
7121-6540,7121-7021,3683,Metier Plastic,7121,7021,6540,20210339,19-Nov-20,26-Nov-20,"72,072.00",,20210339,Yes,,,
8572-6511,8572-6979,3684,Metier Plastic,8572,6979,6511,20210325,17-Nov-20,26-Nov-20,"31,590.00",,20210325,Yes,,,
8572-6516,8572-6986,3685,Metier Plastic,8572,6986,6516,20210329,17-Nov-20,26-Nov-20,"21,060.00",,20210329,Yes,,,
8572-6535,8572-7013,3686,Metier Plastic,8572,7013,6535,20210337,19-Nov-20,26-Nov-20,"21,060.00",,20210337,Yes,,,
8657-6482,8657-6957,3687,Metier Plastic,8657,6957,6482,20210312,12-Nov-20,26-Nov-20,"655,200.00",,20210312,Yes,,,
8657-6486,8657-6959,3688,Metier Plastic,8657,6959,6486,20210314,12-Nov-20,26-Nov-20,"145,080.00",,20210314,Yes,,,
8657-6488,8657-6961,3689,Metier Plastic,8657,6961,6488,20210317,12-Nov-20,26-Nov-20,"288,288.00",,20210317,Yes,,,
8657-6504,8657-6969,3690,Metier Plastic,8657,6969,6504,20210321,16-Nov-20,26-Nov-20,"921,170.00",,20210321,Yes,,,
8657-6509,8657-6977,3691,Metier Plastic,8657,6977,6509,20210324,17-Nov-20,26-Nov-20,"455,715.00",,20210324,Yes,,,
8657-6510,8657-6978,3692,Metier Plastic,8657,6978,6510,20210324,17-Nov-20,26-Nov-20,"455,715.00",,20210324,Yes,,,
8657-6512,8657-6980,3693,Metier Plastic,8657,6980,6512,20210326,17-Nov-20,26-Nov-20,"826,020.00",,20210326,Yes,,,
8657-6513,8657-6981,3694,Metier Plastic,8657,6981,6513,20210326,17-Nov-20,26-Nov-20,"826,020.00",,20210326,Yes,,,
8657-6517,8657-6984,3695,Metier Plastic,8657,6984,6517,20210328,17-Nov-20,26-Nov-20,"672,329.00",,20210328,Yes,,,
8657-6515,8657-6985,3696,Metier Plastic,8657,6985,6515,20210328,17-Nov-20,26-Nov-20,"672,329.00",,20210328,Yes,,,
8657-6528,8657-6998,3697,Metier Plastic,8657,6998,6528,20210331,18-Nov-20,26-Nov-20,"647,010.00",,20210331,Yes,,,
8657-6532,8657-7001,3698,Metier Plastic,8657,7001,6532,20210332,18-Nov-20,26-Nov-20,"908,271.00",,20210332,Yes,,,
8657-6530,8657-7002,3699,Metier Plastic,8657,7002,6530,20210332,18-Nov-20,26-Nov-20,"908,271.00",,20210332,Yes,,,
8657-6537,8657-7015,3700,Metier Plastic,8657,7015,6537,20210335,19-Nov-20,26-Nov-20,"180,180.00",,20210335,Yes,,,
8657-6534,8657-7012,3701,Metier Plastic,8657,7012,6534,20210336,19-Nov-20,26-Nov-20,"651,105.00",,20210336,Yes,,,
8657-6538,8657-7019,3702,Metier Plastic,8657,7019,6538,20210338,19-Nov-20,26-Nov-20,"179,010.00",,20210338,Yes,,,
8657-6539,8657-7020,3703,Metier Plastic,8657,7020,6539,20210338,19-Nov-20,26-Nov-20,"179,010.00",,20210338,Yes,,,
8657-6555,8657-7031,3704,Metier Plastic,8657,7031,6555,20210341,20-Nov-20,26-Nov-20,"122,850.00",,20210341,Yes,,,
8657-6560,8657-7032,3705,Metier Plastic,8657,7032,6560,20210342,20-Nov-20,26-Nov-20,"614,250.00",,20210342,Yes,,,
8657-6561,8657-7034,3706,Metier Plastic,8657,7034,6561,20210343,20-Nov-20,26-Nov-20,"432,432.00",,20210343,Yes,,,
8657-6565,8657-7047,3707,Metier Plastic,8657,7047,6565,20210345,23-Nov-20,26-Nov-20,"352,170.00",,20210345,Yes,,,
8657-6574,8657-7044,3708,Metier Plastic,8657,7044,6574,20210346,23-Nov-20,26-Nov-20,"612,963.00",,20210346,Yes,,,
8657-6575,8657-7045,3709,Metier Plastic,8657,7045,6575,20210346,23-Nov-20,26-Nov-20,"612,963.00",,20210346,Yes,,,
8657-6576,8657-7046,3710,Metier Plastic,8657,7046,6576,20210346,23-Nov-20,26-Nov-20,"612,963.00",,20210346,Yes,,,
8657-6578,8657-7057,3711,Metier Plastic,8657,7057,6578,20210348,24-Nov-20,26-Nov-20,"529,893.00",,20210348,Yes,,,
8657-6573,8657-7058,3712,Metier Plastic,8657,7058,6573,20210348,24-Nov-20,26-Nov-20,"529,893.00",,20210348,Yes,,,
8657-6492,8657-6966,3713,Metier Plastic,8657,6966,6492,20210319,13-Nov-20,26-Nov-20,"671,580.00",,202103019,Yes,,,
8887-6489,8887-6962,3714,Metier Plastic,8887,6962,6489,20210316,12-Nov-20,26-Nov-20,"281,736.00",,20210316,Yes,,,
8975-6487,8975-6960,3715,Metier Plastic,8975,6960,6487,20210315,12-Nov-20,26-Nov-20,"49,988.00",,20210315,Yes,,,
9586-6485,9586-6958,3716,Metier Plastic,9586,6958,6485,20210313,12-Nov-20,26-Nov-20,"449,280.00",,20210313,Yes,,,
9586-6491,9586-6967,3717,Metier Plastic,9586,6967,6491,20210318,13-Nov-20,26-Nov-20,"307,008.00",,20210318,Yes,,,
9586-6503,9586-6968,3718,Metier Plastic,9586,6968,6503,20210320,16-Nov-20,26-Nov-20,"56,160.00",,20210320,Yes,,,
9586-6508,9586-6976,3719,Metier Plastic,9586,6976,6508,20210323,17-Nov-20,26-Nov-20,"228,384.00",,20210323,Yes,,,
9586-6514,9586-6983,3720,Metier Plastic,9586,6983,6514,20210327,17-Nov-20,26-Nov-20,"318,240.00",,20210327,Yes,,,
9586-6529,9586-6999,3721,Metier Plastic,9586,6999,6529,20210330,18-Nov-20,26-Nov-20,"262,080.00",,20210330,Yes,,,
9586-6531,9586-7000,3722,Metier Plastic,9586,7000,6531,20210333,18-Nov-20,26-Nov-20,"187,200.00",,20210333,Yes,,,
9586-6536,9586-7014,3723,Metier Plastic,9586,7014,6536,20210334,19-Nov-20,26-Nov-20,"505,440.00",,20210334,Yes,,,
9586-6533,9586-7030,3724,Metier Plastic,9586,7030,6533,20210340,20-Nov-20,26-Nov-20,"501,696.00",,20210340,Yes,,,
9586-6571,9586-7048,3725,Metier Plastic,9586,7048,6571,20210344,23-Nov-20,26-Nov-20,"394,992.00",,20210344,Yes,,,
9586-6577,9586-7056,3726,Metier Plastic,9586,7056,6577,20210347,24-Nov-20,26-Nov-20,"262,080.00",,20210347,Yes,,,
9770-6556,9770-7033,3727,Metier Ampoule,9770,7033,6556,20210272,20-Nov-20,26-Nov-20,"439,733.00",,20210272,Yes,,,
9010-6572,9010-7051,3728,Metier Ampoule,9010,7051,6572,20210273,23-Nov-20,26-Nov-20,"2,124,168.00",,20210273,Yes,,,
9586-6505,9586-6970,3729,Metier Plastic,9586,6970,6505,20210322,16-Nov-20,26-Nov-20,"307,008.00",,20210322,Yes,,,
9023-5413,9023-3055,3730,Pakistan Oxygen ,9023,3055,5413,371646075,06-Nov-20,27-Nov-20,"31,695.30",,400028900,No (Copy with Stamp),,,
9023-5445,9023-,3731,Pakistan Oxygen ,9023,,5445,371646111,06-Nov-20,27-Nov-20,"1,212.75",Services,,,,,
9023-5419,9023-3061,3732,Pakistan Oxygen ,9023,3061,5419,371646074,06-Nov-20,27-Nov-20,"102,431.16",,400028899,No (Copy with Stamp),,,
9023-5446,9023-,3733,Pakistan Oxygen ,9023,,5446,371646110,06-Nov-20,27-Nov-20,"3,919.30",Services,,,,,
9495-2712,9495-2654,3734,Advance Engineering Group,9495,2654,2712,2947,25-Nov-20,27-Nov-20,"52,650.00",,DC/20/0423,No (Copy with Stamp),,,
9259-5261,9259-2971,3735,Lucky Cement ,9259,2971,5261,91805377,16-Oct-20,27-Nov-20,"120,000.00",,102279,Yes,,,
9865-5544,9865-,3736,Muhammad Ahsan Contractor,9865,,5544,9865-175,24-Nov-20,27-Nov-20,"12,000.00",services,,,,,
9867-5543,9867-,3737,Muhammad Ahsan Contractor,9867,,5543,9867-174,24-Nov-20,27-Nov-20,"60,000.00",services,,,,,
9306-5542,9306-,3738,Muhammad Ahsan Contractor,9306,,5542,9306-173,24-Nov-20,27-Nov-20,"61,965.00",services,,,,,
9609-5541,9609-,3739,Muhammad Ahsan Contractor,9609,,5541,9609-172,24-Nov-20,27-Nov-20,"122,280.00",Services,,,,,
9494-2713,9494-2655,3740,Advance Engineering Group,9494,2655,2713,2948,25-Nov-20,27-Nov-20,"301,860.00",,DC/20/0424,No (Copy with Stamp),,,
9615-5546,9615-,3741,Technoman,9615,,5546,N2810/SD,02-Nov-20,27-Nov-20,"28,250.00",services,,,,,
9665-2670,9665-2613,3742,Zas Services,9665,2613,2670,ZAS/657/20,23-Nov-20,27-Nov-20,"45,630.00",,ZAS/10504/20,Yes,,,
9665-2706,9665-2647,3743,Zas Services,9665,2647,2706,ZAS/657/20,23-Nov-20,27-Nov-20,"45,630.00",,ZAS/10505/20,Yes,,,
9763-5505,9763-3099,3744,Atique Traders,9763,3099,5505,INV-53501,17-Nov-20,27-Nov-20,"182,531.00",,71751,No (Copy with Stamp),,,
9595-6521,9595-6950,3745,A. M. Yousuf & Co,9595,6950,6521,AMY/1562,12-Nov-20,27-Nov-20,"102,375.00",,5103,Yes,,,
9752-5506,9752-3100,3746,Javed Chemical ,9752,3100,5506,22554,20-Nov-20,27-Nov-20,"204,750.00",,707,Yes,,,
9752-5507,9752-3101,3747,Javed Chemical ,9752,3101,5507,22553,20-Nov-20,27-Nov-20,"81,900.00",,706,Yes,,,
9556-5504,9556-3098,3748,Tanvir Packages,9556,3098,5504,3396,17-Nov-20,27-Nov-20,"50,617.00",,3396,Yes,,,
9584-6911,9584-6910,3749,M. A. Printers ,9584,6910,6911,146,09-Nov-20,27-Nov-20,"3,000.00",,339,Yes,,,
9584-6438,9584-6911,3750,M. A. Printers ,9584,6911,6438,146,09-Nov-20,27-Nov-20,"3,000.00",,339,Yes,,,
9532-5418,9532-3060,3751,M. A. Printers ,9532,3060,5418,144,13-Nov-20,27-Nov-20,"23,726.00",,337,Yes,,,
9532-5464,9532-3083,3752,M. A. Printers ,9532,3083,5464,144,13-Nov-20,27-Nov-20,"23,726.00",,344,Yes,,,
9532-5475,9532-3085,3753,M. A. Printers ,9532,3085,5475,144,13-Nov-20,27-Nov-20,"23,726.00",,345,Yes,,,
9193-5457,9193-3080,3754,M. A. Printers ,9193,3080,5457,145,12-Nov-20,27-Nov-20,"1,500.00",,343,Yes,,,
8907-5539,8907-3123,3755,M. A. Printers ,8907,3123,5539,147,22-Nov-20,27-Nov-20,"23,140.00",,346,Yes,,,
9480-,9480-7041,3756,Martin Dow,9480,7041,,9200018629,23-Nov-20,27-Nov-20,"414,180.00",,8300018723,Yes,,,
9480-,9480-7042,3757,Martin Dow,9480,7042,,9200018629,23-Nov-20,27-Nov-20,"414,180.00",,8300018723,Yes,,,
9480-,9480-7043,3758,Martin Dow,9480,7043,,9200018629,23-Nov-20,27-Nov-20,"414,180.00",,8300018723,Yes,,,
9555-5535,9555-3119,3759,Wali Global ,9555,3119,5535,81023,19-Nov-20,27-Nov-20,"696,000.00",,WG-2027,Yes,,,
9576-,9576-7011,3760,Premium Chemical ,9576,7011,,2449,20-Nov-20,27-Nov-20,"1,026,324.00",,2861,Yes,,,
9722-2674,9722-2617,3761,Wadittar Engineering ,9722,2617,2674,2305,17-Nov-20,27-Nov-20,"23,500.00",,3069,Yes,,,
9722-5500,9722-,3762,Wadittar Engineering ,9722,,5500,2305,17-Nov-20,27-Nov-20,"23,500.00",Services,,,,,
9723-5487,9723-,3763,Wadittar Engineering ,9723,,5487,2300,16-Nov-20,27-Nov-20,"15,000.00",services,,,,,
9199-2647,9199-2590,3764,Wadittar Engineering ,9199,2590,2647,2299,16-Nov-20,27-Nov-20,"48,000.00",,3026,Yes,,,
9547-2635,9547-2578,3765,Wadittar Engineering ,9547,2578,2635,2298,16-Nov-20,27-Nov-20,"20,000.00",,3033,Yes,,,
9633-2704,9633-2648,3766,Defence Battery,9633,2648,2704,325,20-Nov-20,27-Nov-20,"9,000.00",,325,Yes,,,
9748-2672,9748-2615,3767,New Zafcom Tyres Company,9748,2615,2672,1149,28-Oct-20,27-Nov-20,"26,325.00",,9046,Yes,,,
9538-5455,9538-3079,3768,Atique Traders,9538,3079,5455,INV-53364,12-Nov-20,27-Nov-20,"22,424.22",,71688,No (Copy with Stamp),,,
9592-6496,9592-6949,3769,Alpine Chemical Solutions,9592,6949,6496,ACS/SI/11/005,12-Nov-20,27-Nov-20,"172,224.00",,ACS/DN/11/004,Yes,,,
7787-5452,7787-3078,3770,Javed Chemical ,7787,3078,5452,22531,13-Nov-20,27-Nov-20,"7,371.00",,639,Yes,,,
3480-5450,3480-3076,3771,Javed Chemical ,3480,3076,5450,22530,13-Nov-20,27-Nov-20,"6,863.22",,637,Yes,,,
5856-5451,5856-3077,3772,Javed Chemical ,5856,3077,5451,22529,13-Nov-20,27-Nov-20,"8,190.00",,638,Yes,,,
9045-6461,9045-6944,3773,United Tubes,9045,6944,6461,25104,11-Nov-20,27-Nov-20,"535,626.00",,26855,Yes,,,
9441-2607,9441-2551,3774,SFA International,9441,2551,2607,308,11-Nov-20,27-Nov-20,"12,870.00",,335,No (Copy with Stamp),,,
9021-,9021-6963,3775,Mansoor Chem ,9021,6963,,1150,13-Nov-20,27-Nov-20,"117,000.00",,364,Yes,,,
9372-6473,9372-6914,3776,Gelcaps ,9372,6914,6473,35624,09-Nov-20,27-Nov-20,"954,500.00",,20110006,Yes,,,
9516-2619,9516-2562,3777,Sh. Wilayat Ahmed & Sons,9516,2562,2619,1506,06-Nov-20,27-Nov-20,"40,856.00",,6606,No (Copy with Stamp),,,
9634-2665,9634-2608,3778,Universal Engineering ,9634,2608,2665,28915,16-Nov-20,27-Nov-20,"15,210.00",,28915,Yes,,,
9478-2666,9478-2609,3779,Universal Engineering ,9478,2609,2666,28906,16-Nov-20,27-Nov-20,"66,339.00",,28906-28906-28906-1,Yes,,,
9478-2667,9478-2610,3780,Universal Engineering ,9478,2610,2667,28906,16-Nov-20,27-Nov-20,"66,339.00",,28906-28906-28906-1,Yes,,,
9367-5490,9367-,3781,Muhammad Ahsan Contractor,9367,,5490,9367-168,16-Nov-20,27-Nov-20,"168,520.00",services,,,,,
9301-5497,9301-,3782,A. G. Associates,9301,,5497,4052,12-Nov-20,27-Nov-20,"39,100.00",services,,,,,
9301-2663,9301-2606,3783,A. G. Associates,9301,2606,2663,4052,12-Nov-20,27-Nov-20,"39,100.00",,4052,Yes,,,
9568-2662,9568-2605,3784,A. G. Associates,9568,2605,2662,4064,12-Nov-20,27-Nov-20,"46,410.00",,4064,Yes,,,
9568-5491,9568-,3785,A. G. Associates,9568,,5491,4064,12-Nov-20,27-Nov-20,"46,410.00",Services,,,,,
9566-5494,9566-,3786,A. G. Associates,9566,,5494,4065,12-Nov-20,27-Nov-20,"20,000.00",Services,,,,,
9460-2669,9460-2612,3787,A. G. Associates,9460,2612,2669,4060,16-Nov-20,27-Nov-20,"382,180.00",,4060,Yes,,,
9460-5489,9460-,3788,A. G. Associates,9460,,5489,4060,16-Nov-20,27-Nov-20,"382,180.00",Services,,,,,
9567-5488,9567-,3789,A. G. Associates,9567,,5488,4062,16-Nov-20,27-Nov-20,"8,000.00",Services,,,,,
9571-2673,9571-2616,3790,Automate Pakistan,9571,2616,2673,INVP-188542,17-Nov-20,27-Nov-20,"26,910.00",,ORDP-27047,No (Copy with Stamp),,,
8825-5093,8825-2879,3791,FSD Traders,8825,2879,5093,STI-2011-05,25-Sep-20,27-Nov-20,"52,065.00",,DN.200919-01,No (Copy with Stamp),,,
8825-5402,8825-3048,3792,FSD Traders,8825,3048,5402,STI-2011-06,09-Nov-20,27-Nov-20,"199,075.00",,DN.201101-01,No (Copy with Stamp),,,
9645-5481,9645-3091,3793,Asad Water Supplier,9645,3091,5481,0,01-Oct-20,27-Nov-20,"706,320.00",,"7,408,740,974,117,410",No (Copy with Stamp),,,
8437-5469,8437-,3794,Multinet,8437,,5469,1089301,01-Nov-20,27-Nov-20,"1,780.00",services,,,,,
8437-5468,8437-,3795,Multinet,8437,,5468,1089302,01-Nov-20,27-Nov-20,"124,926.00",services,,,,,
8437-5467,8437-,3796,Multinet,8437,,5467,1089300,01-Nov-20,27-Nov-20,"8,306.00",services,,,,,
8437-5466,8437-,3797,Multinet,8437,,5466,1089299,01-Nov-20,27-Nov-20,"39,525.00",services,,,,,
9112-6584,9112-6890,3798,Brothers Enterprises,9112,6890,6584,K-106381,05-Nov-20,27-Nov-20,"346,028.00",,73490,Yes,,,
8485-6507,8485-6971,3799,Martin Dow,8485,6971,6507,9200018379,16-Nov-20,27-Nov-20,"696,150.00",,8300018506,Yes,,,
9644-5495,9644-3094,3800,Health Factory International,9644,3094,5495,212157,30-Sep-20,27-Nov-20,"37,211.44",,"53,984,610,539,562",No (Copy with Stamp),,,
9644-5495,9644-3094,3801,Health Factory International,9644,3094,5495,212320,30-Sep-20,27-Nov-20,"19,453.42",,"53,984,610,539,562",No (Copy with Stamp),,,
9644-5495,9644-3094,3802,Health Factory International,9644,3094,5495,212493,30-Sep-20,27-Nov-20,"6,068.04",,"53,984,610,539,562",No (Copy with Stamp),,,
8229-5501,8229-3095,3803,Promotional Concept ,8229,3095,5501,117,18-Nov-20,27-Nov-20,"323,700.00",,n/a,Yes,,,
9817-6665,9817-7110,3804,Pakistan Radiation,9817,7110,6665,34284,17-Nov-20,27-Nov-20,"44,000.00",Advance ,41611,No (Copy with Stamp),,,
9817-6667,9817-7112,,Pakistan Radiation,9817,7112,6667,34284,17-Nov-20,27-Nov-20,"44,000.00",Advance ,41611,No (Copy with Stamp),,,
9817-6666,9817-7111,,Pakistan Radiation,9817,7111,6666,34284,17-Nov-20,27-Nov-20,"44,000.00",Advance ,41611,No (Copy with Stamp),,,
8366-5551,8366-,3805,Pakistan Oxygen ,8366,,5551,371646826,09-Nov-20,27-Nov-20,"21,000.00",Services,,,,,
9915-6670,9915-7130,3806,Pakistan Radiation,9915,7130,6670,34309,23-Nov-20,30-Nov-20,"154,800.00",Advance ,41635,No (Copy with Stamp),,,
9915-6668,9915-7128,,Pakistan Radiation,9915,7128,6668,34309,23-Nov-20,30-Nov-20,"154,800.00",Advance ,41635,No (Copy with Stamp),,,
9915-6669,9915-7129,,Pakistan Radiation,9915,7129,6669,34309,23-Nov-20,30-Nov-20,"154,800.00",Advance ,41635,No (Copy with Stamp),,,
9457-5533,9457-3117,3807,Waheed Bhai Carpenter,9457,3117,5533,9547-171,19-Nov-20,02-Dec-20,"54,400.00",,n/a,Yes,,,
9739-2705,9739-2646,3808,Waheed Bhai Carpenter,9739,2646,2705,9739-170,20-Nov-20,02-Dec-20,"141,037.50",,n/a,Yes,,,
8870-5485,8870-3092,3809,Waheed Bhai Carpenter,8870,3092,5485,8870-169,19-Nov-20,02-Dec-20,"23,400.00",,n/a,Yes,,,
