,Sr,Item Code,Item Name,Supplier / Department,PO No.,DC Number,MRR No.,Shipment No.,Lot No.,Potency,Requested Date,Receiving Date,Quantity ,UOM,Sample Date,Release Status,Rel / Rej / Hold Date,Manufacturer
6707,40,6406-00256-0000,ATCC STANDARD SALMONELLA TYPHIMURIUM 14028,M/S. MUSAJI ADAM & SONS,16766,1906/DC-23,5608,,,-,2023-04-03 00:00:00,2023-05-25 00:00:00,1,Numbers,,,,
6708,41,6406-00314-0000,USP REFERENCE STANDARD ATRACURIUM BESYLATE CATALOG NO.1044800,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,1563561,6000,,,-,2023-02-14 00:00:00,2023-11-22 00:00:00,2,Numbers,,,,
6709,42,6403-00009-0000,PLATE COUNT AGAR,M/S. MUSAJI ADAM & SONS,16379,1435/DC-23,5552,,,-,2023-03-02 00:00:00,2023-04-17 00:00:00,500,Grams,,,,
6710,43,6402-00041-0000,TRISODIUM PHOSPHATE 12H2O,JAVED CHEMICAL CORPORATION,16912,27695,6092,,,-,2023-06-21 00:00:00,2023-12-21 00:00:00,5,Kilogram,,,,
6711,44,6402-00041-0000,TRISODIUM PHOSPHATE 12H2O,JAVED CHEMICAL CORPORATION,16912,27532,6017,,,-,2023-06-21 00:00:00,2023-11-27 00:00:00,3,Kilogram,,,,
6712,45,6402-00041-0000,TRISODIUM PHOSPHATE 12H2O,JAVED CHEMICAL CORPORATION,16912,26799,5664,,,-,2023-06-21 00:00:00,2023-06-22 00:00:00,3,Kilogram,,,,
6713,46,6402-00041-0000,TRISODIUM PHOSPHATE 12H2O,JAVED CHEMICAL CORPORATION,14968,26195,5481,,,-,2022-06-16 00:00:00,2023-03-09 00:00:00,3,Kilogram,,,,
6714,47,6401-00025-0000,TETRAHYDROFURON,JAVED CHEMICAL CORPORATION,17828,27696,6103,,,-,2023-10-14 00:00:00,2023-12-27 00:00:00,12,Litre,,,,
6715,48,6405-00033-0000,BEAKER GLASS 1 LTRS,JAVED CHEMICAL CORPORATION,19486,27912,6187,,,-,2023-11-24 00:00:00,2024-01-29 00:00:00,2,Numbers,,,,
6716,49,6405-00027-0000,BOTTLE REAGENT 1000ML BRAND: SCHOTT DURAN,JAVED CHEMICAL CORPORATION,16840,26798,5661,,,-,2023-05-29 00:00:00,2023-06-21 00:00:00,5,Numbers,,,,
6717,50,6406-00252-0000,ATCC STANDARD BACILLUS SUBTILIS 6633,M/S. MUSAJI ADAM & SONS,16766,1906/DC-23,5608,,,-,2023-04-03 00:00:00,2023-05-25 00:00:00,1,Numbers,,,,
6718,51,6406-00272-0000,USP REFERENCE STANDARD FLUOROQUINOLONIC ACID CATALOG NO. 1278302,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,1563561,5999,,,-,2023-10-14 00:00:00,2023-11-22 00:00:00,1,Numbers,,,,
6719,52,6401-00075-0000,BUFFER SOLUTION PH 7.0 CAT# 109439 MAKE: MERCK,JAVED CHEMICAL CORPORATION,17711,27693,6093,,,-,2023-10-14 00:00:00,2023-12-21 00:00:00,1,Litre,,,,
6720,53,6401-00075-0000,BUFFER SOLUTION PH 7.0 CAT# 109439 MAKE: MERCK,JAVED CHEMICAL CORPORATION,17708,27520,5998,,,-,2023-10-18 00:00:00,2023-11-22 00:00:00,1,Litre,,,,
6721,54,6405-00106-0000,VOLUMETRIC FLASK 100ML,JAVED CHEMICAL CORPORATION,16840,26798,5661,,,-,2023-05-29 00:00:00,2023-06-21 00:00:00,15,Numbers,,,,
6722,55,6403-00002-0000,MAC-CONKEY AGAR NO 3,M/S. MUSAJI ADAM & SONS,16379,1435/DC-23,5552,,,-,2023-03-31 00:00:00,2023-04-17 00:00:00,1,Numbers,,,,
6723,56,6406-00035-0000,USP DISINTEGRATING PREDNISONE 30 TABLETS,UNITED STATES PHARMACOPEIAL CONV.INC.,17071,41711613,5908,,,-,2023-06-06 00:00:00,2023-10-16 00:00:00,1,Numbers,,,,
6724,57,6405-00107-0000,VOLUMETRIC FLASK 25ML,JAVED CHEMICAL CORPORATION,16840,26798,5661,,,-,2023-05-29 00:00:00,2023-06-21 00:00:00,10,Numbers,,,,
6725,58,6405-00020-0000,BEAKER GLASS 250ML,JAVED CHEMICAL CORPORATION,19486,27912,6187,,,-,2023-11-24 00:00:00,2024-01-29 00:00:00,2,Numbers,,,,
6726,59,6402-00126-0000,COLD FILTERABLE TSB,M/S. MUSAJI ADAM & SONS,16391,1161/DC-23,5511,,,-,2023-03-31 00:00:00,2023-03-27 00:00:00,4000,Grams,,,,
6727,60,6401-00014-0000,METHANOL HPLC GRADE,NEW CHEMICAL CENTRE,17059,7988,5738,,,-,2023-07-25 00:00:00,2023-07-26 00:00:00,200,Litre,,,,
6728,61,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,16915,,6008,,,-,2023-06-21 00:00:00,2023-11-23 00:00:00,10,Litre,,,,
6729,62,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,16915,27308,5895,,,-,2023-06-21 00:00:00,2023-10-11 00:00:00,20,Litre,,,,
6730,63,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,16915,27249,5864,,,-,2023-06-21 00:00:00,2023-09-28 00:00:00,20,Litre,,,,
6731,64,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,16915,26961,5755,,,-,2023-06-21 00:00:00,2023-08-04 00:00:00,30,Litre,,,,
6732,65,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,16915,26899,5727,,,-,2023-06-21 00:00:00,2023-07-18 00:00:00,10,Litre,,,,
6733,66,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,16915,26781,5662,,,-,2023-06-21 00:00:00,2023-06-22 00:00:00,30,Litre,,,,
6734,67,6401-00014-0000,METHANOL HPLC GRADE,MARTIN DOW SPECIALITIES PVT. LTD.,15921,8300040504,5480,,,-,2022-12-08 00:00:00,2023-03-09 00:00:00,100,Litre,,,,MERCK KGAA GERMANY
6735,68,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,15920,26675,5626,,,-,2022-12-08 00:00:00,2023-06-02 00:00:00,5,Litre,,,,
6736,69,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,15920,25995,5325,,,-,2022-12-08 00:00:00,2023-01-17 00:00:00,50,Litre,,,,
6737,70,6401-00014-0000,METHANOL HPLC GRADE,JAVED CHEMICAL CORPORATION,15920,25954,5303,,,-,2022-12-08 00:00:00,2023-01-10 00:00:00,10,Litre,,,,
6738,71,6405-00028-0000,CYLINDER MEASURING 500ML,JAVED CHEMICAL CORPORATION,16345,26223,5491,,,-,2023-03-03 00:00:00,2023-03-16 00:00:00,3,Numbers,,,,
6739,72,6406-00130-0000,USP REFERENCE STANDARD EFLORNITHINE HYDROCHLORIDE  CATALOG NO. 1234249,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,1563561,5999,,,-,2023-02-04 00:00:00,2023-11-22 00:00:00,1,Numbers,,,,
6740,73,6405-00037-0000,PETRI DISH 90MM PLASTIC,S.S. SCIENTIFIC SYSTEMS,16773,7451,5623,,,-,2023-05-10 00:00:00,2023-06-01 00:00:00,500,Numbers,,,,
6741,74,6401-00046-0000,AMMONIUM HYDROXIDE SOLUTION (30-33% NH3 IN H2O),STANDARD SCIENTIFIC SUPPLIES,17850,238,6010,,,-,2023-11-28 00:00:00,2023-11-23 00:00:00,2.5,Litre,,,,
6742,75,6401-00046-0000,AMMONIUM HYDROXIDE SOLUTION (30-33% NH3 IN H2O),JAVED CHEMICAL CORPORATION,17712,27495,6002,,,-,2023-10-14 00:00:00,2023-11-22 00:00:00,2.5,Litre,,,,
6743,76,6402-00005-0000,CITRIC ACID H2O,RELIABLE INTERNATIONAL,16148,RI-2324/BRK,5439,,,-,2023-01-27 00:00:00,2023-02-21 00:00:00,25,Kilogram,,,,
6744,77,6402-00005-0000,CITRIC ACID H2O,RELIABLE INTERNATIONAL,15822,RI-2272/BRK,5295,,,-,2022-11-11 00:00:00,2023-01-06 00:00:00,25,Kilogram,,,,
6745,78,6405-00016-0000,CYLINDER MEASURING 1000ML,JAVED CHEMICAL CORPORATION,16345,26349,5537,,,-,2023-03-03 00:00:00,2023-04-07 00:00:00,5,Numbers,,,,
6746,79,6406-00255-0000,ATCC STANDARD STAPHLOCOCCUS AUREUS 6538,M/S. MUSAJI ADAM & SONS,16766,1906/DC-23,5608,,,-,2023-04-03 00:00:00,2023-05-25 00:00:00,1,Numbers,,,,
6747,80,6405-00011-0000,CYLINDER MEASURING 100ML,JAVED CHEMICAL CORPORATION,19486,27912,6187,,,-,2023-11-24 00:00:00,2024-01-29 00:00:00,2,Numbers,,,,
6748,81,6405-00011-0000,CYLINDER MEASURING 100ML,JAVED CHEMICAL CORPORATION,16345,26349,5537,,,-,2023-03-03 00:00:00,2023-04-07 00:00:00,5,Numbers,,,,
6749,82,6405-00013-0000,BEAKER GLASS 50ML,JAVED CHEMICAL CORPORATION,19486,27912,6187,,,-,2023-11-24 00:00:00,2024-01-29 00:00:00,2,Numbers,,,,
6750,83,6402-00050-0000,TRYPTIC SOYA BROTH,M/S. MUSAJI ADAM & SONS,16379,2820/DC-23,5797,,,-,2023-03-06 00:00:00,2023-08-29 00:00:00,500,Grams,,,,
6751,84,6402-00050-0000,TRYPTIC SOYA BROTH,M/S. MUSAJI ADAM & SONS,16379,1435/DC-23,5552,,,-,2023-03-06 00:00:00,2023-04-17 00:00:00,1000,Grams,,,,
6752,85,6406-00356-0000,USP REFERENCE STANDARD DICLOFENAC SODIUM CATALOG NO. 1188800,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,1563561,6000,,,-,2023-02-04 00:00:00,2023-11-22 00:00:00,1,Numbers,,,,
6753,86,6405-00024-0000,CYLINDER MEASURING 50ML,JAVED CHEMICAL CORPORATION,19486,27912,6187,,,-,2023-11-24 00:00:00,2024-01-29 00:00:00,2,Numbers,,,,
6754,87,6405-00024-0000,CYLINDER MEASURING 50ML,JAVED CHEMICAL CORPORATION,16345,26349,5537,,,-,2023-03-03 00:00:00,2023-04-07 00:00:00,5,Numbers,,,,
6755,88,6406-00251-0000,ATCC STANDARD CANDIDA ALBICANS 10231,M/S. MUSAJI ADAM & SONS,16766,1906/DC-23,5608,,,-,2023-04-03 00:00:00,2023-05-25 00:00:00,1,Numbers,,,,
6756,89,6401-00029-0000,ACILA WATER ( B.E.T FREE WATER),M/S. MUSAJI ADAM & SONS,17320,3442/DC-23,5894,,,-,2023-08-16 00:00:00,2023-10-10 00:00:00,200,Milliliters,,,,
6757,90,6401-00029-0000,ACILA WATER ( B.E.T FREE WATER),M/S. MUSAJI ADAM & SONS,16102,628/DC-23,5418,,,-,2023-01-18 00:00:00,2023-02-10 00:00:00,200,Milliliters,,,,
6758,91,6407-00077-0000,CTO MOTOR EXCHANGE KIT FOR HPLC LC-2030,TECHNOLOGY LINKS (PVT) LTD.,16536,TL-12743,5790,,,-,2023-04-03 00:00:00,2023-08-23 00:00:00,1,Numbers,,,,
6759,92,6407-00085-0000,LAL REACTION TUBE,M/S. MUSAJI ADAM & SONS,17320,3535/DC-23,5931,,,-,2023-08-16 00:00:00,2023-10-19 00:00:00,100,Numbers,,,,
6760,93,6407-00085-0000,LAL REACTION TUBE,M/S. MUSAJI ADAM & SONS,16771,1898/DC-23,5612,,,-,2023-03-29 00:00:00,2023-05-30 00:00:00,100,Numbers,,,,
6761,94,6406-00253-0000,ATCC STANDARD ESCHERICHIA COLI 8739,M/S. MUSAJI ADAM & SONS,16766,1906/DC-23,5608,,,-,2023-04-03 00:00:00,2023-05-25 00:00:00,1,Numbers,,,,
6762,95,6407-00018-0000,BOWIE DICK TEST PACK,K. I. ENTERPRISEE,16898,4424,5663,,,-,2023-05-29 00:00:00,2023-06-22 00:00:00,8,Packs,,,,
6763,96,6403-00018-0000,PEPTONE,M/S. MUSAJI ADAM & SONS,16379,1435/DC-23,5552,,,-,2023-03-02 00:00:00,2023-04-17 00:00:00,500,Grams,,,,
6764,97,6401-00058-0000,ORTHO PHOSPHORIC ACID 85% (SUPELCO),M/S. MUSAJI ADAM & SONS,18102,4437/DC-23,6099,,,-,2023-11-29 00:00:00,2023-12-22 00:00:00,4,Litre,,,,
6765,98,6401-00054-0000,LYSATE 0.125EU/ML,PHARM CANADA PAKISTAN,19416,4519,6154,,,-,2024-01-12 00:00:00,2024-01-18 00:00:00,10,Numbers,,,,
6766,99,6401-00054-0000,LYSATE 0.125EU/ML,PHARM CANADA PAKISTAN,17723,4327,6013,,,-,2023-11-01 00:00:00,2023-11-27 00:00:00,5,Numbers,,,,
6767,100,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,17320,3442/DC-23,5894,,,-,2023-08-16 00:00:00,2023-10-10 00:00:00,2,Numbers,,,,
6768,101,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,17320,3402/DC-23,5879,,,-,2023-08-16 00:00:00,2023-10-06 00:00:00,1,Numbers,,,,
6769,102,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,17320,3465/DC-23,5904,,,-,2023-08-16 00:00:00,2023-10-12 00:00:00,1,Numbers,,,,
6770,103,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,17320,3342/DC-23,5867,,,-,2023-08-16 00:00:00,2023-10-03 00:00:00,1,Numbers,,,,
6771,104,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,17320,3014/DC-23,5823,,,-,2023-08-16 00:00:00,2023-09-06 00:00:00,1,Numbers,,,,
6772,105,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,16672,1828/DC-23,5597,,,-,2023-04-10 00:00:00,2023-05-20 00:00:00,6,Numbers,,,,
6773,106,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,16282,876/DC-23,5468,,,-,2023-02-14 00:00:00,2023-03-03 00:00:00,6,Numbers,,,,
6774,107,6401-00054-0000,LYSATE 0.125EU/ML,M/S. MUSAJI ADAM & SONS,15902,60/DC-23,5291,,,-,2022-12-12 00:00:00,2023-01-06 00:00:00,6,Numbers,,,,
6775,108,6406-00339-0000,USP REFERENCE STANDARD CEFOTAXIME SODIUM CATALOG NO:  1097909,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,1563561,5999,,,-,2022-04-01 00:00:00,2023-11-22 00:00:00,1,Numbers,,,,
6776,109,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,18060,27749,6118,,,-,2023-12-20 00:00:00,2024-01-01 00:00:00,5,Numbers,,,,
6777,110,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,18060,27631,6079,,,-,2023-12-20 00:00:00,2023-12-18 00:00:00,1,Numbers,,,,
6778,111,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,16231,27568,6050,,,-,2023-01-27 00:00:00,2023-12-04 00:00:00,1,Numbers,,,,
6779,112,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,16231,27494,5996,,,-,2023-01-27 00:00:00,2023-11-16 00:00:00,1,Numbers,,,,
6780,113,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,16231,27223,5853,,,-,2023-01-27 00:00:00,2023-09-25 00:00:00,2,Numbers,,,,
6781,114,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,16231,27046,5788,,,-,2023-01-27 00:00:00,2023-08-22 00:00:00,2,Numbers,,,,
6782,115,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,16231,26341,5538,,,-,2023-01-27 00:00:00,2023-04-07 00:00:00,2,Numbers,,,,
6783,116,6401-00001-0000,ACETIC ACID,JAVED CHEMICAL CORPORATION,16512,27525,6007,,,-,2023-04-10 00:00:00,2023-11-23 00:00:00,22.5,Litre,,,,
6784,117,6401-00001-0000,ACETIC ACID,JAVED CHEMICAL CORPORATION,16512,27309,5898,,,-,2023-04-10 00:00:00,2023-10-11 00:00:00,10,Litre,,,,
6785,118,6401-00001-0000,ACETIC ACID,JAVED CHEMICAL CORPORATION,16512,26960,5757,,,-,2023-04-10 00:00:00,2023-08-04 00:00:00,5,Litre,,,,
6786,119,6401-00001-0000,ACETIC ACID,JAVED CHEMICAL CORPORATION,16512,26676,5627,,,-,2023-04-10 00:00:00,2023-06-02 00:00:00,2.5,Litre,,,,
6787,120,6401-00001-0000,ACETIC ACID,JAVED CHEMICAL CORPORATION,16512,26321,5541,,,-,2023-04-10 00:00:00,2023-04-08 00:00:00,2.5,Litre,,,,
6788,121,6405-00031-0000,VOLUMETRIC FLASK 50ML,JAVED CHEMICAL CORPORATION,16840,26798,5661,,,-,2023-05-29 00:00:00,2023-06-21 00:00:00,15,Numbers,,,,
6789,122,6401-00074-0000,BUFFER SOLUTION PH 4.0 CAT# 109435 MAKE: MERCK,JAVED CHEMICAL CORPORATION,17711,27571,6051,,,-,2023-10-14 00:00:00,2023-12-05 00:00:00,1,Litre,,,,
6790,123,6401-00074-0000,BUFFER SOLUTION PH 4.0 CAT# 109435 MAKE: MERCK,JAVED CHEMICAL CORPORATION,17708,27520,5998,,,-,2023-10-18 00:00:00,2023-11-22 00:00:00,1,Litre,,,,
6791,124,6402-00028-0000,POTASSIUM CHLORIDE,M/S. MUSAJI ADAM & SONS,18102,4437/DC-23,6099,,,-,2023-11-29 00:00:00,2023-12-22 00:00:00,2,Kilogram,,,,
6792,125,6401-00013-0000,KARL FISCHER REAGENT,JAVED CHEMICAL CORPORATION,17770,27694,6095,,,-,2023-10-14 00:00:00,2023-12-21 00:00:00,2,Litre,,,,
6793,126,6405-00100-0000,BEAKER PLASTIC 2000ml,JAVED CHEMICAL CORPORATION,16840,26798,5661,,,-,2023-05-29 00:00:00,2023-06-21 00:00:00,3,Numbers,,,,
6794,127,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,17084,3844/DC-23,5972,,,-,2023-06-05 00:00:00,2023-11-03 00:00:00,500,Grams,,,,
6795,128,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,17084,3443/DC-23,5893,,,-,2023-06-05 00:00:00,2023-10-10 00:00:00,1000,Grams,,,,
6796,129,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,17084,3395/DC-23,5880,,,-,2023-06-05 00:00:00,2023-10-06 00:00:00,1000,Grams,,,,
6797,130,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,17084,2581/DC-23,5753,,,-,2023-06-05 00:00:00,2023-08-04 00:00:00,500,Grams,,,,
6798,131,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,16379,2820/DC-23,5797,,,-,2023-03-06 00:00:00,2023-08-29 00:00:00,1000,Grams,,,,
6799,132,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,16379,1435/DC-23,5552,,,-,2023-03-06 00:00:00,2023-04-17 00:00:00,1000,Grams,,,,
6800,133,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,15745,435/DC-23,5381,,,-,2022-11-28 00:00:00,2023-01-27 00:00:00,1500,Grams,,,,
6801,134,6402-00049-0000,TRYPTIC SOYA AGAR,M/S. MUSAJI ADAM & SONS,15745,340/DC-2023,5365,,,-,2022-11-28 00:00:00,2023-01-23 00:00:00,1500,Grams,,,,
6802,135,6407-00080-0000,PORTABLE TEMPERATURE AND HUMIDITY DATA LOGGER,HAKIMI TRADERS,16522,14364,5783,,,-,2022-12-19 00:00:00,2023-08-17 00:00:00,24,Numbers,,,,
6803,136,6407-00034-0000,SYRINGE FILTER PVDF 25MM DIA 0.45 PORE SIZE CAT NO. SFPVDF025045N,IMCO TECHNOLOGIST,17061,1334,5746,,,-,2023-07-25 00:00:00,2023-08-02 00:00:00,10,Numbers,,,,
6804,137,6407-00034-0000,SYRINGE FILTER PVDF 25MM DIA 0.45 PORE SIZE CAT NO. SFPVDF025045N,IMCO TECHNOLOGIST,17061,1334,5737,,,-,2023-07-25 00:00:00,2023-07-26 00:00:00,10,Numbers,,,,
6805,138,6401-00037-0000,TRIETHYL AMINE,JAVED CHEMICAL CORPORATION,16228,26342,5539,,,-,2023-02-14 00:00:00,2023-04-07 00:00:00,500,Milliliters,,,,
6806,139,6401-00037-0000,TRIETHYL AMINE,JAVED CHEMICAL CORPORATION,16228,26124,5445,,,-,2023-02-14 00:00:00,2023-02-24 00:00:00,500,Milliliters,,,,
6807,140,6402-00051-0000,FLUID THIOGLYCOLATE MEDIUM,M/S. MUSAJI ADAM & SONS,16379,2820/DC-23,5797,,,-,2023-03-31 00:00:00,2023-08-29 00:00:00,1000,Grams,,,,
6808,141,6402-00051-0000,FLUID THIOGLYCOLATE MEDIUM,M/S. MUSAJI ADAM & SONS,16379,1435/DC-23,5552,,,-,2023-03-31 00:00:00,2023-04-17 00:00:00,500,Grams,,,,
6809,142,6405-00085-0000,"CAPILLARY TUBE SIZE: 1.0 x 1.4 x 80mm, ONE END CLOSED",JAVED CHEMICAL CORPORATION,16347,26340,5540,,,-,2023-03-01 00:00:00,2023-04-07 00:00:00,1,Packs,,,,
6810,143,6405-00002-0000,FILTER 30MM GLASS PIPELINE G-2,JAVED CHEMICAL CORPORATION,16231,26341,5538,,,-,2023-01-27 00:00:00,2023-04-07 00:00:00,4,Numbers,,,,
6811,144,6406-00335-0000,USP REFERENCE STANDARD NEOSTIGMINE METHYL SULPHATE CATALOG NO: 1460000,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,1563561,6000,,,-,2022-04-01 00:00:00,2023-11-22 00:00:00,1,Numbers,,,,
6812,145,6407-00028-0000,PORTABLE TEMPERATURE DATA LOGGER USB TYPE,HAKIMI TRADERS,17198,14430,5791,,,-,2023-08-05 00:00:00,2023-08-25 00:00:00,25,Numbers,,,,
6813,146,6407-00084-0000,LID COMPENSATION FOR SPECTROPHOTOMETER UV-1800,TECHNOLOGY LINKS (PVT) LTD.,16536,TL-12743,5790,,,-,2023-04-14 00:00:00,2023-08-23 00:00:00,1,Numbers,,,,
6814,147,6406-00357-0000,USP REFERENCE STANDARD DICLOFENAC POTASSIUM CATALOG NO. 1188709,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,1563561,5999,,,-,2023-02-04 00:00:00,2023-11-22 00:00:00,1,Numbers,,,,
6815,,,,,,,,,,,,,,,,,,
6816,Promotional Materials,,,,,,,,,,,,,,,,,
6817,Sr,Item Code,Item Name,Supplier / Department,PO No.,DC Number,MRR No.,Shipment No.,Lot No.,Potency,Requested Date,Receiving Date,Quantity ,UOM,Sample Date,Release Status,Rel / Rej / Hold Date,Manufacturer
6818,No,,,,,,,,,Factor,,,Received,,,,,
6819,1,6451-00589-0000,AMPOULE CUTTER - ACURON,TRADE ERA,15957,,5549,,,-,2022-12-29 00:00:00,2023-04-14 00:00:00,250,Numbers,,,,
6820,2,6451-00589-0000,AMPOULE CUTTER - ACURON,TRADE ERA,15957,,5512,,,-,2022-12-29 00:00:00,2023-03-27 00:00:00,250,Numbers,,,,
6821,3,6451-00668-0000,AMPOULE CUTTER - PRECIDEX,TRADE ERA,15957,,5549,,,-,2023-02-02 00:00:00,2023-04-14 00:00:00,250,Numbers,,,,
6822,4,6451-00668-0000,AMPOULE CUTTER - PRECIDEX,TRADE ERA,15957,,5512,,,-,2023-02-02 00:00:00,2023-03-27 00:00:00,250,Numbers,,,,
6823,5,6451-00675-0000,WALLET AND KEY CHAIN LEATHER - OXOFERIN (Export),TRADE ERA,17648,,6101,,,-,2023-10-25 00:00:00,2023-12-26 00:00:00,100,Numbers,,,,
6824,6,6451-00670-0000,AMPOULE CUTTER - CIS CURON,TRADE ERA,15957,,5549,,,-,2023-02-02 00:00:00,2023-04-14 00:00:00,250,Numbers,,,,
6825,7,6451-00670-0000,AMPOULE CUTTER - CIS CURON,TRADE ERA,15957,,5512,,,-,2023-02-02 00:00:00,2023-03-27 00:00:00,250,Numbers,,,,
6826,8,6452-00585-0000,"FOLDER SONOTIC INJECTION SIZE: 8.5"" x 11"" 260gsm ART CARD 4 COLOR PRINTING - SON-INJ/F/01/2022",METIER IMPRESSIONS (PVT) LTD.,15524,22230431,5316,,,-,2022-09-14 00:00:00,2023-01-13 00:00:00,16870,Numbers,,,,
6827,9,6452-00503-0000,"FOLDER OXOFERIN SIZE: 8.5"" x 11"" 260gsm ART CARD 4 COLOR PRINTING - OXF/EXPORT/SRI",METIER IMPRESSIONS (PVT) LTD.,16977,23240195,5961,,,-,2023-06-26 00:00:00,2023-10-31 00:00:00,4722,Numbers,,,,
6828,10,6452-00269-0000,"FOLDER LEVOCIT, EXPORT (4 PAGE) SIZE: 8.5"" x 11"", 260 GM ART CARD, 4 COLOR PRINTING - LEVOCIT/EXP/FOL/18-19",METIER IMPRESSIONS (PVT) LTD.,16977,23240195,5959,,,-,2023-06-28 00:00:00,2023-10-31 00:00:00,2700,Numbers,,,,
6829,11,6451-00440-0000,LOTION PUMP (APPLICATOR) FOR PYODINE SURGICAL SCRUB STAND,MASTER COMMUNICATION,15616,1024,5321,,,-,2022-09-23 00:00:00,2023-01-16 00:00:00,3000,Numbers,,,,
6830,12,6451-00440-0000,LOTION PUMP (APPLICATOR) FOR PYODINE SURGICAL SCRUB STAND,MASTER COMMUNICATION,15616,1023,5287,,,-,2022-09-23 00:00:00,2023-01-02 00:00:00,2000,Numbers,,,,
6831,13,6452-00583-0000,"DROP CARD EPRAZOLE SIZE: 8.5"" x 11"" 260gsm ART CARD 4 COLOR PRINTING - DC EPRZ/EXPORT/SRI",METIER IMPRESSIONS (PVT) LTD.,16977,23240182,5954,,,-,2023-06-28 00:00:00,2023-10-30 00:00:00,3000,Numbers,,,,
6832,14,6452-00173-0000,FOLDER EXPO/PYO/03/10 - PYODINE,METIER IMPRESSIONS (PVT) LTD.,17373,23240196,5958,,,-,2023-06-28 00:00:00,2023-10-31 00:00:00,1390,Numbers,,,,
6833,15,6451-00669-0000,AMPOULE CUTTER - SENSOCAIN,TRADE ERA,15957,,5549,,,-,2023-02-02 00:00:00,2023-04-14 00:00:00,250,Numbers,,,,
6834,16,6451-00669-0000,AMPOULE CUTTER - SENSOCAIN,TRADE ERA,15957,,5512,,,-,2023-02-02 00:00:00,2023-03-27 00:00:00,250,Numbers,,,,
6835,17,6452-00584-0000,"CHEMIST LETTER SIZE: A4, 4 COLOR PRINTING - SONOTIC INJECTION",METIER IMPRESSIONS (PVT) LTD.,15524,22230472,5317,,,-,2022-09-14 00:00:00,2023-01-13 00:00:00,2940,Numbers,,,,
6836,18,6451-00674-0000,WALLET AND KEY CHAIN LEATHER - PYODINE GEL (Export),TRADE ERA,17648,,6101,,,-,2023-10-25 00:00:00,2023-12-26 00:00:00,50,Numbers,,,,
6837,19,6451-00671-0000,PEN TORCH,TRADE ERA,17648,,6101,,,-,2023-10-25 00:00:00,2023-12-26 00:00:00,300,Numbers,,,,
6838,20,6451-00673-0000,WALLET AND KEY CHAIN LEATHER - PRECIDEX (Export),TRADE ERA,17648,,6101,,,-,2023-10-25 00:00:00,2023-12-26 00:00:00,50,Numbers,,,,
